ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1416308_at,8,8,2,0.165
1416309_at,0,20,20,0.557
1416310_at,20,20,5,0.425
1416311_s_at,16,20,20,0.653
1416312_at,12,12,3,0.154
1416313_at,12,12,3,0.47
1416314_at,16,16,4,0.475
1416315_at,4,4,1,0.065
1416316_at,12,12,3,0.185
1416317_a_at,0,0,0,0.223
1416318_at,4,4,1,0.207
1416319_at,8,8,2,0.419
1416320_at,8,8,2,0.113
1416321_s_at,16,16,4,0.304
1416322_at,0,20,20,0.471
1416323_at,0,20,20,0.495
1416324_s_at,0,0,0,0.417
1416325_at,0,20,20,0.544
1416326_at,12,12,3,0.471
1416327_at,16,16,4,0.197
1416328_a_at,12,12,3,0.254
1416329_at,16,20,20,0.756
1416330_at,12,12,3,0.41
1416331_a_at,4,8,20,0.963
1416332_at,4,4,1,0.084
1416333_at,12,16,20,0.317
1416334_at,8,8,2,0.38
1416335_at,16,20,20,0.474
1416336_s_at,0,0,0,0.15
1416337_at,0,20,20,0.691
1416338_at,16,16,4,0.18
1416339_a_at,8,12,20,0.204
1416340_a_at,12,16,20,0.373
1416341_at,8,8,2,0.115
1416342_at,12,12,3,0.777
1416343_a_at,12,20,20,0.668
1416344_at,8,12,20,0.498
1416345_at,8,12,20,0.087
1416346_at,8,8,2,0.156
1416347_at,16,20,20,0.784
1416348_at,12,16,20,0.29
1416349_at,20,20,5,0.424
1416350_at,4,8,20,0.356
1416351_at,20,20,5,0.563
1416352_s_at,16,16,4,0.105
1416353_at,0,12,20,0.644
1416354_at,8,12,20,0.198
1416355_at,8,16,20,0.539
1416356_at,0,0,0,0.151
1416357_a_at,8,12,20,0.114
1416358_at,0,0,0,0.775
1416359_at,16,16,4,0.441
1416360_at,16,16,4,0.449
1416361_a_at,16,20,20,0.268
1416362_a_at,16,16,4,0.157
1416363_at,0,4,20,0.693
1416364_at,16,20,20,0.015
1416365_at,16,16,4,0.039
1416366_at,12,12,3,0.038
1416367_at,4,8,20,0.399
1416368_at,20,20,5,0.658
1416369_at,4,4,1,0.31
1416370_at,8,12,20,0.441
1416371_at,0,2,0,0.518
1416372_at,16,16,4,0.135
1416373_at,12,16,20,0.274
1416374_at,8,12,20,0.552
1416375_at,8,12,20,0.047
1416376_at,12,12,3,0.055
1416377_at,4,8,20,0.096
1416378_at,0,0,0,0.244
1416379_at,12,12,3,0.14
1416380_at,0,0,0,0.123
1416381_a_at,16,16,4,0.111
1416382_at,4,4,1,0.088
1416383_a_at,12,16,20,0.422
1416384_a_at,16,16,4,0.737
1416385_a_at,4,4,1,0.14
1416386_a_at,4,4,1,0.335
1416387_at,4,8,20,0.612
1416388_at,8,16,20,0.966
1416389_a_at,4,8,20,0.643
1416390_at,16,20,20,0.509
1416391_at,12,12,3,0.324
1416392_a_at,16,16,4,0.172
1416393_at,0,0,0,0.013
1416394_at,16,16,4,0.427
1416395_at,16,20,20,0.477
1416396_at,16,16,4,0.212
1416397_at,0,4,20,0.191
1416398_at,8,8,2,0.25
